"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_fastball","active_spin_slider","active_spin_curve"
"Roe, Chaz","R","79.1","74.8",,,,"89.9",
"De Jong, Chase","R","79.1",,,"86.3",,"34.9",
"Wright Jr., Mike","R","79","89.9",,"86.2",,"26.9","41.8"
"Meisinger, Ryan","R","78.9",,,,,"24.9",
"Otero, Dan","R","78.9","91.8",,"81",,"21.2",
"Black, Ray","R","78.9",,,,,"63.2",
"Goeddel, Erik","R","78.8",,,"65.8",,,"74.9"
"De Los Santos, Enyel","R","78.8",,,"90.1",,,"37.4"
"Ryu, Hyun Jin","L","78.8","89.4","36.8","79.5",,,"85.9"
"Zimmermann, Jordan","R","78.7","78.7",,"79.5",,"34.5","43"
"Rodriguez, Eduardo","L","78.7","87.5","35.5","89.5",,"21.2",
"Porcello, Rick","R","78.7","84.7",,"84.2",,"25.7","79.3"
"Belisle, Matt","R","78.7","89.6",,,,"30.9","74.6"
"Johnson, Jim","R","78.7","92.5",,"90.5",,,"60.2"
"Pounders, Brooks","R","78.6",,,"44.9",,"43.6",
"Anderson, Brett","L","78.6","87.9",,"87.2",,"49.2","80.3"
"Betances, Dellin","R","78.6",,,,,"62","47.4"
"Jeffress, Jeremy","R","78.5","96.1",,,,,"63.6"
"Wisler, Matt","R","78.5","85.1",,,,"39.4",
"Gott, Trevor","R","78.5","93.4",,,,,"80.2"
"Greene, Shane","R","78.5","89.1","40.7",,,"68.2",
"Bailey, Homer","R","78.5","90.8",,,,"28.6","69.3"
"Rodríguez, Dereck","R","78.3","89","33.5","88.5",,,"77.9"
"Romo, Sergio","R","78.1","88",,"91.5",,"72.3",
"Syndergaard, Noah","R","78","89.1",,"95.5",,"31.6","42"
"Castillo, Diego","R","78","90",,,,"32.6",
"Loáisiga, Jonathan","R","78",,,"81.9",,,"32.2"
"Price, David","L","78","91.3","38.9","86.4",,,"40"
"Hendricks, Kyle","R","78","76.5",,"72",,,"84"
"Miller, Justin","R","78","90.3",,,,"35",
"Lyons, Tyler","L","77.9","84.2",,,,"71.1",
"Scherzer, Max","R","77.9",,"28.9","87.8",,"17.9","50.4"
"Biagini, Joe","R","77.9","89.9","34.4","89",,,"90.3"
"Carpenter, Ryan","L","77.8","87.3",,"87.3",,"46.8","92.4"
"Kelley, Shawn","R","77.7",,,,,"28.1",
"Hand, Brad","L","77.7","79.6",,,,"79.8",
"Johnson, Brian","L","77.6","86.3",,"83.5",,"54.4","79.3"
"Miley, Wade","L","77.6","87.9","34.5","86.9",,"28.7","73"
"Freeman, Sam","L","77.2","90",,,,,"47.6"
"Warren, Adam","R","77.2",,,"85.2",,"36.3","67.3"
"Castillo, José","L","77.1",,,,,"40.6",
"Greinke, Zack","R","77.1","79.8",,"67.6",,"36","80.5"
"Adam, Jason","R","77",,,"82.9",,,"80.9"
"May, Trevor","R","77",,,"88.5",,"26.5","80.3"
"Richard, Clayton","L","76.9","86.4",,"79.3",,"23.7",
"Rodón, Carlos","L","76.8","85",,"84.7",,"38.2",
"Minor, Mike","L","76.8",,,"93.3",,"36.7","48.7"
"Axford, John","R","76.8","90.8",,,,"34.3","82.1"
